"Frequency(Hz)","Return Loss(dB)","±Phase(deg)"
21000000.000,9.151,79.723
21014262.000,9.252,79.249
21028524.000,9.327,78.471
21042786.000,9.393,78.126
21057048.000,9.465,77.479
21071310.000,9.523,76.871
21085572.000,9.626,76.269
21099834.000,9.689,75.678
21114096.000,9.776,75.016
21128358.000,9.836,74.380
21142620.000,9.935,73.913
21156882.000,9.993,73.508
21171144.000,10.042,72.797
21185406.000,10.156,72.266
21199668.000,10.213,71.525
21213930.000,10.295,71.164
21228192.000,10.367,70.561
21242454.000,10.447,69.953
21256716.000,10.486,69.238
21270978.000,10.584,68.808
21285240.000,10.654,68.101
21299502.000,10.709,67.500
21313764.000,10.811,67.039
21328026.000,10.870,66.300
21342288.000,10.965,65.886
21356550.000,11.026,65.050
21370812.000,11.114,64.581
21385074.000,11.152,64.041
21399336.000,11.221,63.347
21413598.000,11.324,62.873
21427860.000,11.363,62.287
21442122.000,11.493,61.752
21456384.000,11.543,61.196
21470646.000,11.593,60.519
21484908.000,11.690,59.952
21499170.000,11.734,59.072
21513432.000,11.823,58.678
21527694.000,11.888,58.207
21541956.000,11.983,57.544
21556218.000,12.037,56.830
21570480.000,12.097,56.436
21584742.000,12.167,55.492
21599004.000,12.267,55.109
21613266.000,12.324,54.639
21627528.000,12.397,53.925
21641790.000,12.513,53.556
21656052.000,12.541,52.585
21670314.000,12.632,52.200
21684576.000,12.689,51.352
21698838.000,12.759,51.003
21713100.000,12.863,50.619
21727362.000,12.897,49.592
21741624.000,13.010,49.310
21755886.000,13.065,48.471
21770148.000,13.142,48.090
21784410.000,13.198,47.313
21798672.000,13.257,46.691
21812934.000,13.357,46.026
21827196.000,13.416,45.355
21841458.000,13.472,44.909
21855720.000,13.554,43.947
21869982.000,13.615,43.653
21884244.000,13.684,42.822
21898506.000,13.734,42.331
21912768.000,13.813,41.359
21927030.000,13.862,40.914
21941292.000,13.928,40.139
21955554.000,14.031,39.315
21969816.000,14.041,39.028
21984078.000,14.121,38.163
21998340.000,14.141,37.503
22012602.000,14.241,36.694
22026864.000,14.325,36.004
