"Frequency(Hz)","Return Loss(dB)","±Phase(deg)"
21000000.000,10.293,91.790
21014262.000,10.401,90.865
21028524.000,10.461,89.964
21042786.000,10.526,88.891
21057048.000,10.555,88.286
21071310.000,10.620,87.257
21085572.000,10.715,86.703
21099834.000,10.758,85.487
21114096.000,10.875,84.676
21128358.000,10.912,83.784
21142620.000,10.979,82.788
21156882.000,11.029,82.114
21171144.000,11.096,80.853
21185406.000,11.152,80.249
21199668.000,11.213,79.162
21213930.000,11.286,78.319
21228192.000,11.326,77.474
21242454.000,11.415,76.409
21256716.000,11.451,75.596
21270978.000,11.488,74.391
21285240.000,11.557,73.811
21299502.000,11.619,72.520
21313764.000,11.660,71.796
21328026.000,11.758,70.864
21342288.000,11.786,69.789
21356550.000,11.850,68.768
21370812.000,11.911,67.761
21385074.000,11.940,66.819
21399336.000,12.006,65.664
21413598.000,12.009,64.952
21427860.000,12.148,63.698
21442122.000,12.150,62.780
21456384.000,12.218,61.693
21470646.000,12.286,60.438
21484908.000,12.307,59.473
21499170.000,12.375,58.188
21513432.000,12.411,57.344
21527694.000,12.473,55.965
21541956.000,12.526,55.394
21556218.000,12.565,54.068
21570480.000,12.657,52.853
21584742.000,12.683,51.761
21599004.000,12.751,50.501
21613266.000,12.769,49.525
21627528.000,12.813,48.278
21641790.000,12.862,47.406
21656052.000,12.905,45.900
21670314.000,12.960,45.220
21684576.000,12.975,43.767
21698838.000,13.085,42.862
21713100.000,13.090,41.456
21727362.000,13.096,40.367
21741624.000,13.162,39.256
21755886.000,13.160,37.964
21770148.000,13.263,37.113
21784410.000,13.311,35.684
21798672.000,13.321,34.896
21812934.000,13.332,33.662
21827196.000,13.431,32.315
21841458.000,13.415,31.138
21855720.000,13.460,30.124
21869982.000,13.503,28.998
21884244.000,13.526,27.704
21898506.000,13.543,26.756
21912768.000,13.561,25.436
21927030.000,13.588,24.421
21941292.000,13.634,23.403
21955554.000,13.674,22.045
21969816.000,13.703,21.084
21984078.000,13.697,19.638
21998340.000,13.810,18.765
22012602.000,13.748,17.509
22026864.000,13.807,16.619
22041126.000,13.818,15.351
22055388.000,13.870,14.245
22069650.000,13.902,13.139
22083912.000,13.940,12.033
