Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
21000000,-20.35,61.17,54.0,1.21,9.2,54.8,7.2
21014262,-20.56,59.20,54.3,1.21,8.8,55.0,7.4
21028524,-20.61,56.65,54.7,1.21,8.6,55.4,7.7
21042786,-20.77,54.60,54.9,1.20,8.3,55.6,7.9
21057048,-20.89,51.92,55.3,1.20,7.9,55.9,8.1
21071310,-21.13,49.96,55.5,1.19,7.5,56.0,8.2
21085572,-21.11,46.86,55.9,1.19,7.2,56.4,8.5
21099834,-21.27,44.45,56.1,1.19,6.8,56.5,8.6
21114096,-21.44,41.58,56.4,1.19,6.4,56.7,8.7
21128358,-21.38,39.38,56.7,1.19,6.2,57.0,9.0
21142620,-21.48,37.10,56.9,1.18,5.8,57.2,9.0
21156882,-21.34,34.21,57.3,1.19,5.6,57.6,9.4
21171144,-21.48,32.28,57.4,1.18,5.2,57.7,9.3
21185406,-21.46,29.62,57.7,1.18,4.9,57.9,9.5
21199668,-21.49,26.73,58.0,1.18,4.4,58.1,9.5
21213930,-21.44,24.29,58.2,1.19,4.1,58.4,9.6
21228192,-21.33,21.96,58.5,1.19,3.8,58.6,9.8
21242454,-21.42,19.41,58.6,1.19,3.3,58.7,9.7
21256716,-21.16,17.62,59.0,1.19,3.2,59.1,10.0
21270978,-21.18,15.44,59.1,1.19,2.8,59.2,9.9
21285240,-21.04,13.74,59.4,1.19,2.5,59.4,10.1
21299502,-20.95,10.87,59.6,1.20,2.0,59.6,10.1
21313764,-20.86,8.84,59.8,1.20,1.7,59.8,10.1
21328026,-20.68,6.74,60.1,1.20,1.3,60.1,10.2
21342288,-20.56,5.12,60.3,1.21,1.0,60.3,10.2
21356550,-20.31,2.97,60.7,1.21,0.6,60.7,10.4
21370812,-20.31,1.54,60.7,1.21,0.3,60.7,10.3
21385074,-20.07,-0.75,61.0,1.22,-0.2,61.0,10.3
21399336,-19.95,-2.14,61.2,1.22,-0.5,61.2,10.3
21413598,-19.80,-4.25,61.4,1.23,-0.9,61.4,10.3
21427860,-19.60,-5.43,61.6,1.23,-1.2,61.6,10.4
21442122,-19.51,-6.48,61.7,1.24,-1.5,61.7,10.3
21456384,-19.25,-8.52,62.1,1.24,-2.0,62.1,10.3
21470646,-19.17,-9.33,62.1,1.25,-2.2,62.2,10.3
21484908,-19.01,-11.46,62.3,1.25,-2.8,62.3,10.1
21499170,-18.85,-12.14,62.5,1.26,-3.0,62.6,10.2
21513432,-18.67,-13.34,62.7,1.26,-3.4,62.8,10.1
21527694,-18.53,-14.38,62.8,1.27,-3.7,62.9,10.1
21541956,-18.37,-16.01,63.0,1.27,-4.3,63.1,9.9
21556218,-18.15,-17.19,63.2,1.28,-4.7,63.4,9.9
21570480,-18.04,-17.85,63.3,1.29,-4.9,63.5,9.8
21584742,-17.88,-19.61,63.4,1.29,-5.5,63.6,9.6
21599004,-17.81,-20.08,63.5,1.30,-5.7,63.7,9.5
21613266,-17.55,-21.06,63.8,1.31,-6.2,64.1,9.5
21627528,-17.45,-22.22,63.8,1.31,-6.6,64.1,9.3
21641790,-17.30,-23.21,63.9,1.32,-7.0,64.3,9.1
21656052,-17.14,-24.34,64.0,1.32,-7.5,64.4,8.9
21670314,-17.01,-24.63,64.2,1.33,-7.7,64.7,8.9
21684576,-16.83,-26.19,64.2,1.34,-8.3,64.8,8.6
21698838,-16.76,-26.39,64.3,1.34,-8.5,64.9,8.5
21713100,-16.60,-27.44,64.4,1.35,-9.0,65.0,8.3
21727362,-16.45,-28.26,64.5,1.35,-9.4,65.2,8.1
21741624,-16.33,-29.10,64.5,1.36,-9.8,65.3,7.9
21755886,-16.20,-29.89,64.6,1.37,-10.2,65.4,7.7
21770148,-16.12,-30.32,64.6,1.37,-10.5,65.5,7.5
21784410,-16.00,-31.31,64.6,1.38,-10.9,65.5,7.2
21798672,-15.85,-31.66,64.8,1.38,-11.3,65.8,7.1
21812934,-15.79,-32.46,64.7,1.39,-11.6,65.7,6.8
21827196,-15.65,-33.10,64.8,1.39,-12.0,65.9,6.5
21841458,-15.52,-33.62,64.9,1.40,-12.4,66.0,6.3
21855720,-15.45,-34.45,64.8,1.41,-12.7,66.0,6.0
21869982,-15.36,-34.97,64.8,1.41,-13.1,66.1,5.7
21884244,-15.23,-35.92,64.7,1.42,-13.5,66.1,5.3
21898506,-15.15,-35.95,64.8,1.42,-13.7,66.3,5.2
21912768,-15.03,-36.88,64.8,1.43,-14.2,66.3,4.8
21927030,-14.97,-37.33,64.7,1.43,-14.5,66.3,4.5
21941292,-14.85,-38.04,64.7,1.44,-14.9,66.4,4.2
21955554,-14.79,-38.50,64.6,1.45,-15.2,66.4,3.9
21969816,-14.70,-38.82,64.7,1.45,-15.5,66.5,3.7
21984078,-14.63,-39.86,64.4,1.46,-15.9,66.3,3.1
21998340,-14.51,-39.90,64.6,1.46,-16.2,66.6,3.0
22012602,-14.46,-40.73,64.4,1.47,-16.5,66.4,2.5
22026864,-14.38,-41.12,64.4,1.47,-16.8,66.5,2.2
22041126,-14.30,-41.48,64.3,1.48,-17.1,66.6,1.9
22055388,-14.23,-41.90,64.3,1.48,-17.3,66.6,1.6
22069650,-14.14,-42.43,64.2,1.49,-17.7,66.6,1.2
22083912,-14.16,-42.80,64.0,1.49,-17.7,66.4,0.9
22098174,-14.03,-43.35,64.0,1.50,-18.2,66.5,0.5
22112436,-13.99,-43.87,63.8,1.50,-18.4,66.4,0.1
22126698,-13.92,-44.24,63.8,1.50,-18.7,66.5,-0.2
22140960,-13.89,-44.84,63.6,1.51,-18.9,66.3,-0.7
22155222,-13.80,-45.18,63.6,1.51,-19.2,66.4,-1.0
22169484,-13.75,-45.37,63.5,1.52,-19.4,66.4,-1.3
22183746,-13.71,-46.15,63.3,1.52,-19.7,66.2,-1.8
22198008,-13.67,-46.33,63.2,1.52,-19.8,66.3,-2.1
22212270,-13.63,-46.76,63.1,1.53,-20.0,66.2,-2.5
22226532,-13.55,-46.90,63.1,1.53,-20.3,66.3,-2.8
22240794,-13.51,-47.40,63.0,1.54,-20.5,66.2,-3.2
22255056,-13.47,-47.81,62.8,1.54,-20.7,66.1,-3.6
22269318,-13.46,-48.22,62.6,1.54,-20.8,66.0,-3.9
22283580,-13.38,-48.52,62.6,1.55,-21.1,66.0,-4.3
22297842,-13.35,-49.02,62.4,1.55,-21.3,65.9,-4.7
22312104,-13.34,-49.40,62.2,1.55,-21.3,65.8,-5.1
22326366,-13.26,-49.65,62.2,1.56,-21.6,65.9,-5.5
22340628,-13.25,-50.03,62.0,1.56,-21.7,65.7,-5.8
22354890,-13.22,-50.51,61.8,1.56,-21.9,65.6,-6.3
22369152,-13.20,-50.85,61.7,1.56,-22.0,65.5,-6.6
22383414,-13.14,-50.97,61.7,1.57,-22.2,65.6,-6.9
22397676,-13.15,-51.31,61.5,1.56,-22.2,65.4,-7.2
22411938,-13.10,-51.74,61.4,1.57,-22.4,65.3,-7.7
22426200,-13.06,-52.19,61.2,1.57,-22.6,65.2,-8.1
22440462,-13.06,-52.47,61.0,1.57,-22.7,65.1,-8.4
22454724,-13.03,-52.69,61.0,1.57,-22.8,65.1,-8.7
22468986,-13.03,-52.89,60.9,1.57,-22.8,65.0,-9.0
22483248,-12.99,-53.37,60.7,1.58,-23.0,64.9,-9.4
22497510,-12.97,-53.38,60.7,1.58,-23.0,64.9,-9.6
22511772,-12.98,-53.85,60.4,1.58,-23.1,64.7,-10.0
22526034,-12.99,-54.08,60.3,1.58,-23.1,64.6,-10.3
22540296,-12.94,-54.23,60.3,1.58,-23.2,64.6,-10.6
22554558,-12.91,-54.75,60.0,1.58,-23.4,64.4,-11.1
22568820,-12.91,-54.97,59.9,1.58,-23.4,64.4,-11.3
22583082,-12.90,-55.18,59.8,1.59,-23.5,64.3,-11.6
22597344,-12.89,-55.58,59.7,1.59,-23.5,64.1,-12.0
22611606,-12.90,-55.65,59.6,1.59,-23.5,64.1,-12.2
22625868,-12.87,-56.04,59.4,1.59,-23.6,64.0,-12.5
22640130,-12.90,-56.20,59.3,1.59,-23.6,63.9,-12.7
22654392,-12.84,-56.57,59.2,1.59,-23.8,63.8,-13.2
22668654,-12.87,-56.63,59.2,1.59,-23.7,63.7,-13.3
