Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
21000000,-9.27,78.81,44.8,2.05,34.3,56.4,17.0
21014262,-9.33,78.20,45.2,2.04,34.2,56.7,17.5
21028524,-9.42,77.87,45.6,2.02,34.0,56.8,17.8
21042786,-9.50,77.21,46.1,2.01,33.9,57.2,18.3
21057048,-9.57,76.91,46.3,2.00,33.7,57.3,18.6
21071310,-9.69,76.23,46.9,1.98,33.5,57.6,18.9
21085572,-9.74,75.73,47.3,1.97,33.4,57.9,19.4
21099834,-9.84,75.26,47.7,1.95,33.2,58.1,19.6
21114096,-9.92,74.68,48.1,1.94,33.0,58.3,19.9
21128358,-10.00,73.98,48.6,1.92,32.8,58.7,20.3
21142620,-10.08,73.60,48.9,1.91,32.6,58.8,20.5
21156882,-10.17,73.16,49.3,1.90,32.4,59.0,20.7
21171144,-10.27,72.45,49.8,1.88,32.1,59.3,21.0
21185406,-10.32,71.88,50.2,1.88,32.1,59.6,21.4
21199668,-10.46,71.75,50.4,1.86,31.6,59.5,21.3
21213930,-10.52,70.87,51.0,1.85,31.5,59.9,21.7
21228192,-10.61,70.35,51.4,1.84,31.2,60.1,21.9
21242454,-10.67,69.88,51.7,1.83,31.1,60.3,22.1
21256716,-10.74,69.34,52.1,1.82,30.9,60.5,22.3
21270978,-10.83,68.73,52.5,1.81,30.6,60.8,22.5
21285240,-10.87,68.25,52.8,1.80,30.6,61.0,22.8
21299502,-11.01,67.61,53.2,1.78,30.1,61.2,22.8
21313764,-11.05,66.95,53.6,1.78,30.0,61.5,23.1
21328026,-11.17,66.44,54.0,1.76,29.6,61.6,23.1
21342288,-11.21,65.79,54.4,1.76,29.5,61.9,23.4
21356550,-11.28,65.27,54.7,1.75,29.3,62.0,23.5
21370812,-11.41,64.59,55.1,1.74,28.9,62.2,23.5
21385074,-11.44,64.17,55.4,1.73,28.8,62.4,23.7
21399336,-11.57,63.59,55.7,1.72,28.3,62.5,23.7
21413598,-11.64,63.03,56.0,1.71,28.1,62.7,23.7
21427860,-11.75,62.42,56.4,1.70,27.7,62.8,23.7
21442122,-11.80,61.71,56.8,1.69,27.5,63.1,23.9
21456384,-11.87,61.07,57.1,1.68,27.3,63.3,24.0
21470646,-11.96,60.69,57.3,1.68,27.0,63.4,24.0
21484908,-12.03,59.81,57.8,1.67,26.7,63.7,24.1
21499170,-12.15,59.56,57.9,1.66,26.3,63.6,23.9
21513432,-12.23,58.68,58.4,1.65,25.9,63.9,24.0
21527694,-12.30,58.22,58.6,1.64,25.7,64.0,24.0
21541956,-12.34,57.62,58.9,1.64,25.5,64.2,24.1
21556218,-12.43,56.95,59.2,1.63,25.2,64.3,24.1
21570480,-12.52,56.21,59.5,1.62,24.8,64.5,24.1
21584742,-12.58,55.32,60.0,1.61,24.5,64.8,24.2
21599004,-12.68,55.01,60.1,1.61,24.2,64.7,24.0
21613266,-12.76,54.32,60.4,1.60,23.8,64.9,24.0
21627528,-12.85,53.72,60.6,1.59,23.5,65.0,23.9
21641790,-12.87,53.13,60.9,1.59,23.3,65.2,24.0
21656052,-12.97,52.28,61.2,1.58,22.9,65.4,23.9
21670314,-13.07,51.63,61.4,1.57,22.5,65.4,23.8
21684576,-13.12,50.74,61.8,1.57,22.2,65.7,23.8
21698838,-13.20,50.38,61.9,1.56,21.9,65.7,23.7
21713100,-13.34,49.47,62.2,1.55,21.3,65.8,23.5
21727362,-13.37,49.29,62.3,1.55,21.2,65.8,23.5
21741624,-13.42,48.32,62.6,1.54,20.9,66.0,23.5
21755886,-13.51,47.85,62.8,1.54,20.6,66.0,23.3
21770148,-13.57,47.02,63.1,1.53,20.2,66.2,23.3
21784410,-13.68,46.11,63.3,1.52,19.7,66.3,23.1
21798672,-13.70,45.60,63.5,1.52,19.6,66.5,23.1
21812934,-13.81,44.74,63.7,1.51,19.1,66.5,22.8
21827196,-13.88,44.21,63.9,1.51,18.8,66.6,22.7
21841458,-13.93,43.28,64.2,1.50,18.4,66.8,22.6
21855720,-13.99,42.95,64.2,1.50,18.2,66.8,22.5
21869982,-14.06,41.97,64.5,1.49,17.8,66.9,22.4
21884244,-14.15,41.28,64.6,1.49,17.4,66.9,22.2
21898506,-14.20,40.21,65.0,1.48,17.0,67.2,22.1
21912768,-14.25,39.72,65.1,1.48,16.7,67.2,21.9
21927030,-14.33,38.90,65.3,1.48,16.3,67.3,21.7
21941292,-14.39,37.92,65.5,1.47,16.0,67.4,21.6
21955554,-14.42,37.68,65.6,1.47,15.8,67.4,21.5
21969816,-14.54,36.76,65.7,1.46,15.3,67.4,21.2
21984078,-14.57,36.05,65.9,1.46,15.0,67.5,21.1
21998340,-14.59,34.76,66.3,1.46,14.6,67.8,21.0
22012602,-14.69,34.18,66.3,1.45,14.2,67.8,20.7
22026864,-14.70,33.48,66.5,1.45,14.0,67.9,20.6
22041126,-14.80,32.50,66.6,1.44,13.5,67.9,20.3
22055388,-14.79,32.03,66.7,1.45,13.3,68.1,20.2
22069650,-14.85,30.94,66.9,1.44,12.9,68.2,20.0
22083912,-14.87,30.63,67.0,1.44,12.7,68.2,19.9
22098174,-14.95,29.27,67.2,1.44,12.1,68.3,19.5
22112436,-14.98,28.71,67.3,1.43,11.9,68.4,19.4
22126698,-15.05,27.88,67.4,1.43,11.5,68.4,19.1
22140960,-15.11,26.88,67.5,1.43,11.1,68.4,18.8
22155222,-15.09,26.00,67.8,1.43,10.8,68.7,18.7
22169484,-15.13,25.32,67.9,1.43,10.5,68.7,18.5
22183746,-15.15,24.36,68.1,1.42,10.1,68.8,18.3
22198008,-15.24,23.28,68.1,1.42,9.6,68.8,17.9
22212270,-15.25,22.54,68.3,1.42,9.3,68.9,17.7
22226532,-15.22,21.64,68.5,1.42,9.0,69.1,17.6
22240794,-15.32,20.82,68.5,1.41,8.6,69.0,17.2
22255056,-15.24,19.97,68.8,1.42,8.4,69.3,17.1
22269318,-15.36,19.00,68.7,1.41,7.9,69.2,16.6
22283580,-15.27,18.17,69.1,1.42,7.7,69.5,16.6
22297842,-15.42,17.05,68.9,1.41,7.0,69.3,16.0
22312104,-15.39,16.07,69.1,1.41,6.7,69.5,15.8
